Gene Name,Index
2610008E11Rik,451
2610016A17Rik,452
2610020C07Rik,453
2610021A01Rik,454
2610027K06Rik,455
2610028E06Rik,456
2610028H24Rik,457
2610035D17Rik,458
2610035F20Rik,459
2610037D02Rik,460
2610042L04Rik,461
2610044O15Rik8,462
2610203C22Rik,463
2610204G07Rik,464
2610206C17Rik,465
2610300M13Rik,466
2610301B20Rik,467
2610303G11Rik,468
2610306M01Rik,469
2610307P16Rik,470
2610316D01Rik,471
2610318N02Rik,472
2610507B11Rik,473
2610507I01Rik,474
2610528A11Rik,475
2610528J11Rik,476
2700033N17Rik,477
2700038G22Rik,478
2700046A07Rik,479
2700046G09Rik,480
2700049A03Rik,481
2700054A10Rik,482
2700062C07Rik,483
2700068H02Rik,484
2700069I18Rik,485
2700081O15Rik,486
2700097O09Rik,487
2810001G20Rik,488
2810002D19Rik,489
2810004N23Rik,490
2810006K23Rik,491
2810013P06Rik,492
2810021J22Rik,493
2810029C07Rik,494
2810030D12Rik,495
2810032G03Rik,496
2810049E08Rik,497
2810402E24Rik,498
2810403D21Rik,499
2810403G07Rik,500
2810404F17Rik,501
2810404M03Rik,502
2810405F17Rik,503
2810407A14Rik,504
2810408A11Rik,505
2810408I11Rik,506
2810410L24Rik,507
2810414N06Rik,508
2810429I04Rik,509
2810430I11Rik,510
2810433D01Rik,511
2810442N19Rik,512
2810454H06Rik,513
2810455O05Rik,514
2810457G06Rik,515
2810459M11Rik,516
2810468N07Rik,517
2900005J15Rik,518
2900009J06Rik,519
2900026A02Rik,520
2900040C04Rik,521
2900041M22Rik,522
2900042K21Rik,523
2900045O20Rik,524
2900052L18Rik,525
2900052N01Rik,526
2900057B20Rik,527
2900060B14Rik,528
2900060N12Rik,529
2900072N19Rik,530
2900076A07Rik,531
2900079G21Rik,532
2900089D17Rik,533
2900092C05Rik,534
2900093K20Rik,535
2900097C17Rik,536
3010001F23Rik,537
3010003L21Rik,538
3100003L05Rik,539
3110001I22Rik,540
3110004A20Rik,541
3110006O06Rik,542
3110009E18Rik,543
3110009F21Rik,544
3110015C05Rik,545
3110021N24Rik,546
3110039M20Rik,547
3110040N11Rik,548
3110045C21Rik,549
3110056K07Rik,550
3110070M22Rik,551
3110082I17Rik,552
3110082J24Rik,553
3110083C13Rik,554
3110099E03Rik,555
3200001D21Rik,556
3222401L13Rik,557
3300002A11Rik,558
3300002I08Rik,559
3300002P13Rik,560
3300005D01Rik,561
3425401B19Rik,562
3632454L22Rik,563
3830403N18Rik,564
3830406C13Rik,565
3830408C21Rik,566
3830432H09Rik,567
3930402G23Rik,568
4430402I18Rik,569
4631405J19Rik,570
4632404H12Rik,571
4632404M16Rik,572
4632411P08Rik,573
4632427E13Rik,574
4632428C04Rik,575
4731419I09Rik,576
4732414G09Rik,577
4732419C18Rik,578
4732440D04Rik,579
4732463B04Rik,580
4732465J04Rik,581
4732471J01Rik,582
4732487G21Rik,583
4732491K20Rik,584
4732496C06Rik,585
4833403J16Rik,586
4833405L11Rik,587
4833407H14Rik,588
4833408A19Rik,589
4833411C07Rik,590
4833412C05Rik,591
4833413G10Rik,592
4833415N18Rik,593
4833417C18Rik,594
4833418N02Rik,595
4833419F23Rik,596
4833420G17Rik,597
4833422C13Rik,598
4833422M21Rik,599
4833423E24Rik,600
4833427G06Rik,601
4833428L15Rik,602
4833438C02Rik,603
4833439L19Rik,604
4833445I07Rik,605
4921501I09Rik,606
4921504A21Rik,607
4921507G05Rik,608
4921507P07Rik,609
4921508D12Rik,610
4921509A06Rik,611
4921509O07Rik,612
4921511C10Rik,613
4921515E04Rik,614
4921516A02Rik,615
4921517D22Rik,616
4921522A10Rik,617
4921522P10Rik,618
4921523L03Rik,619
4921524J17Rik,620
4921525O09Rik,621
4921528I07Rik,622
4921529L05Rik,623
4921531C22Rik,624
4921531P14Rik,625
4921536K21Rik,626
4921539H07Rik,627
4922502N22Rik,628
4930402F06Rik,629
4930402H24Rik,630
4930403P22Rik,631
4930404A12Rik,632
4930404H11Rik,633
4930404H24Rik,634
4930404I05Rik,635
4930404K13Rik,636
4930404N11Rik,637
4930405A21Rik,638
4930405D11Rik,639
4930405J17Rik,640
4930405O22Rik,641
4930406D18Rik,642
4930407G08Rik,643
4930407I10Rik,644
4930408O17Rik,645
4930412C18Rik,646
4930412L05Rik,647
4930412M03Rik,648
4930413F20Rik,649
4930414F18Rik,650
4930414N06Rik,651
4930415O20Rik,652
4930417H01Rik,653
4930417O13Rik,654
4930417O22Rik,655
4930419G24Rik,656
4930420G21Rik,657
4930423D22Rik,658
4930425L21Rik,659
4930425O10Rik,660
4930425P05Rik,661
4930426D05Rik,662
4930426I24Rik,663
4930426L09Rik,664
4930428N03Rik,665
4930429F24Rik,666
4930429P21Rik,667
4930430E12Rik,668
4930430F08Rik,669
4930430F21Rik,670
4930431P03Rik,671
4930431P22Rik,672
4930432B10Rik,673
4930432H08Rik,674
4930432J09Rik,675
4930432K21Rik,676
4930432L08Rik,677
4930434B07Rik,678
4930434J06Rik,679
4930435F18Rik,680
4930438A08Rik,681
4930439D14Rik,682
4930440C22Rik,683
4930442G10Rik,684
4930442G15Rik,685
4930443O20Rik,686
4930444A19Rik,687
4930444P10Rik,688
4930445B16Rik,689
4930445E18Rik,690
4930445N06Rik,691
4930445N18Rik,692
4930447C04Rik,693
4930447F24Rik,694
4930447K03Rik,695
4930447M23Rik,696
4930447N08Rik,697
4930448A20Rik,698
4930448C13Rik,699
4930448E22Rik,700
4930449C09Rik,701
4930449E01Rik,702
4930449E18Rik,703
4930449I24Rik,704
4930451I11Rik,705
4930452A19Rik,706
4930452B06Rik,707
4930452G13Rik,708
4930452N14Rik,709
4930453N24Rik,710
4930455B14Rik,711
4930455G09Rik,712
4930455H04Rik,713
4930455M05Rik,714
4930456L15Rik,715
4930458D05Rik,716
4930461C15Rik,717
4930461G14Rik,718
4930465M20Rik,719
4930467D21Rik,720
4930467K11Rik,721
4930469K13Rik,722
4930470G03Rik,723
4930470H14Rik,724
4930470P17Rik,725
4930471C04Rik,726
4930471G24Rik,727
4930471L23Rik,728
4930473A02Rik,729
4930474N09Rik,730
4930477G07Rik,731
4930478K11Rik,732
4930478M13Rik,733
4930479D17Rik,734
4930481A15Rik,735
4930481B07Rik,736
4930483J18Rik,737
4930483O08Rik,738
4930483P17Rik,739
4930484H19Rik,740
4930486L24Rik,741
4930488L21Rik,742
4930488N15Rik,743
4930500A05Rik,744
4930500F04Rik,745
4930500F10Rik,746
4930500L23Rik,747
4930500M09Rik,748
4930502E09Rik,749
4930502E18Rik,750
4930503B20Rik,751
4930503E14Rik,752
4930503L19Rik,753
4930505A04Rik,754
4930505N22Rik,755
4930505O20Rik,756
4930506C21Rik,757
4930507D05Rik,758
4930507D10Rik,759
4930509E16Rik,760
4930509G22Rik,761
4930509H03Rik,762
4930509K18Rik,763
4930511A02Rik,764
4930511J24Rik,765
4930511M06Rik,766
4930512B01Rik,767
4930512H18Rik,768
4930512J16Rik,769
4930512P04Rik,770
4930513D17Rik,771
4930513N10Rik,772
4930515G01Rik,773
4930517E14Rik,774
4930517M08Rik,775
4930517O19Rik,776
4930518J20Rik,777
4930518J21Rik,778
4930519K11Rik,779
4930519L02Rik,780
4930519P11Rik,781
4930520O04Rik,782
4930521O17Rik,783
4930522L14Rik,784
4930523C07Rik,785
4930524B15Rik,786
4930524O07Rik,787
4930525G20Rik,788
4930526L06Rik,789
4930527F14Rik,790
4930527J03Rik,791
4930528G23Rik,792
4930529I22Rik,793
4930532G15Rik,794
4930532M18Rik,795
4930533K18Rik,796
4930534D22Rik,797
4930534H18Rik,798
4930537H20Rik,799
4930539E08Rik,800
4930539J05Rik,801
4930539M17Rik,802
4930540M05Rik,803
4930542C12Rik,804
4930543E12Rik,805
4930544F09Rik,806
4930545H06Rik,807
4930546K05Rik,808
4930547H16Rik,809
4930547M16Rik,810
4930548H24Rik,811
4930548K13Rik,812
4930550C14Rik,813
4930550C17Rik,814
4930550L24Rik,815
4930553E22Rik,816
4930553P18Rik,817
4930554H23Rik,818
4930555A03Rik,819
4930555B11Rik,820
4930556I23Rik,821
4930556J24Rik,822
4930556M19Rik,823
4930558J18Rik,824
4930558K02Rik,825
4930558N11Rik,826
4930562F07Rik,827
4930563E18Rik,828
4930563E22Rik,829
4930563I02Rik,830
4930566F21Rik,831
4930568A12Rik,832
4930568G15Rik,833
4930570B17Rik,834
4930570G19Rik,835
4930572G02Rik,836
4930572K03Rik,837
4930572O13Rik,838
4930573H18Rik,839
4930578G10Rik,840
4930578M01Rik,841
4930578M07Rik,842
4930579C12Rik,843
4930579D07Rik,844
4930579G18Rik,845
4930579G24Rik,846
4930579J19Rik,847
4930579K19Rik,848
4930581F22Rik,849
4930583K01Rik,850
4930587E11Rik,851
4930590J08Rik,852
4930590L14Rik,853
4930592A05Rik,854
4930592C13Rik,855
4930593A02Rik,856
4930593C16Rik,857
4930594M22Rik,858
4930594M22Rik.1,859
4930595D18Rik,860
4930596I21Rik,861
4930597A21Rik,862
4930597O21Rik,863
4930598N05Rik,864
4930599A14Rik,865
4930599N23Rik,866
4931400O07Rik,867
4931403E22Rik,868
4931406B18Rik,869
4931406C07Rik,870
4931406P16Rik,871
4931413I07Rik,872
4931414P19Rik,873
4931415C17Rik,874
4931422A03Rik,875
4931423N10Rik,876
4931428F04Rik,877
4931428L18Rik,878
4931429L15Rik,879
4931431B13Rik,880
4931431C16Rik,881
4931439C15Rik,882
4931440F15Rik,883
4932411K12Rik,884
4932412D23Rik,885
4932414J04Rik,886
4932422M17Rik,887
4932435O22Rik,888
4932438A13Rik,889
4932438H23Rik,890
4932441J04Rik,891
4932443L11Rik,892
4932702P03Rik,893
4933400C23Rik,894
4933402C06Rik,895
4933402D24Rik,896
4933402E13Rik,897
4933402J15Rik,898
4933404I11Rik,899
4933404K08Rik,900
4933404K13Rik,901
4933404O12Rik,902
4933405D12Rik,903
4933405L10Rik,904
4933406B17Rik,905
4933406C10Rik,906
4933406F09Rik,907
4933406I18Rik,908
4933406K04Rik,909
4933406P04Rik,910
4933407I05Rik,911
4933407K13Rik,912
4933407L21Rik,913
4933408B17Rik,914
4933408J17Rik,915
4933408N05Rik,916
4933409K07Rik,917
4933411E02Rik,918
4933411E08Rik,919
4933411K16Rik,920
4933412E12Rik,921
4933412O06Rik,922
4933413C19Rik,923
4933413J09Rik,924
4933415A04Rik,925
4933415F23Rik,926
4933417D19Rik,927
4933417E11Rik,928
4933417O13Rik,929
4933421D24Rik,930
4933421O10Rik,931
4933422A05Rik,932
4933423P22Rik,933
4933424G06Rik,934
4933424M12Rik,935
4933425D22Rik,936
4933426B08Rik,937
4933427D06Rik,938
4933427D14Rik,939
4933427E11Rik,940
4933427I22Rik,941
4933428G20Rik,942
4933428P19Rik,943
4933429H19Rik,944
4933429O19Rik,945
4933430H16Rik,946
4933430I17Rik,947
4933430M04Rik,948
4933431E20Rik,949
4933431K23Rik,950
4933431M02Rik,951
4933432I03Rik,952
4933432I09Rik,953
4933432K03Rik,954
